name,when,town,country,styles,teachers,description,url,date-from,date-to,lat,lng,latlng
Swingin’Spring,17th Mar 2023 - 19th Mar 2023,Gothenburg,Sweden,"Jazz, Lindy Hop",Bianca Locatelli & Nils Andren Katja Zavravnik & Peter Winqvist Loggins Frida Segerdahl & Skye Humphries Marie Nadiaye & Felipe Braga Helena Kanini Kiiru,"If you want to participate in a real memorable party together with the whole West Coast Jitterbugs community- now is the time! The dance association WCJ is turning 40 years old this year! Glitter and glam, late night parties and warm atmosphere- SIS 2023 is the place to be! Join us at the 27th edition of the festival and create new dance memories with old and new friends. Registration opens 28th of November 2022. Early Bird for the first who registers",http://www.swinginspring.se,2023-03-17,2023-03-19,57.7072326,11.9670171,"57.7072326,11.9670171"
Swing Goes Workshop IV,18th Mar 2023 - 19th Mar 2023,Preetz (Kiel),Germany,Lindy Hop,"Christian Beese, Katrin Gebhardt","This is a small Lindy Hop Workshop for intermediate dancers. Small town, small pricing, small group. Max 20 participants. 4 hours lessons, welcome, party and farewell. We will teach in german language. Registration starts on January 29 at 12:01 p.m.",https://swinggoes.de/angebot/swing-goes-workshop,2023-03-18,2023-03-19,54.2359233,10.2818352,"54.2359233,10.2818352"
Shimmy Fest,23rd Mar 2023 - 26th Mar 2023,Albacete,Spain,Lindy Hop,Mimmi Gunnarsson & Fredrik Dahlberg Lizette Rannqvist & Nils Nygardh Gina Monzan & Niklas Taffner,"The 5th edition of the Shimmy Fest is here! Swing and lindy hop festival, in Albacete on 23, 24, 25 and 26 of MARCH 2023. In this edition we have the pleasure of having with international teachers, live music bands, dj, classes, tasters, parties, social dance, Shimmy M&M, and many more cositis!",https://www.facebook.com/shimmyfest22/,2023-03-23,2023-03-26,38.9950921,-1.8559154,"38.9950921,-1.8559154"
Blues Badger Festival,24th Mar 2023 - 25th Mar 2023,Haifa,Israel,"Blues, Lindy Hop",Leanna Rozen and Sharon Dobrovinsky,"*Registration is Open!!* Dear dancers, we want to invite you to a beautiful weekend dedicated to Blues in the north of Israel. The season is perfect, it should be warm enough to dip into the Mediterranean, see all Israel bloom and blossom and on top of that, dance some Blues. Stef Rozen will play the blues for us and on top of that, we have some local musicians to sweep us of our feet! We have many more surprises prepared for you! Come and join us!",http://www.TheBluesBadgers.com,2023-03-24,2023-03-25,32.8191218,34.9983856,"32.8191218,34.9983856"
Bounce Swing Festival,24th Mar 2023 - 26th Mar 2023,Padua,Italy,"Balboa, Blues, Jazz, Lindy Hop",Alba Mengual & Gas Fernandez Jenna Applegarth & Nejc Zupan Laura Marino & Francesco Ciani Solo Diedhiou more TBA,"Bounce Swing Festival is coming back! 8 great teachers, 5 courses, 3 parties, 1 live band, 5 DJs, and a lot of social dance! Up to 10 hours of classes with the option ""create your own pack"": you can choose which class to follow based on the topic you are most interested in!",https://www.bounceswinglovers.com/bsf/,2023-03-24,2023-03-26,45.4077172,11.8734455,"45.4077172,11.8734455"
Swing Sanctuary,24th Mar 2023 - 26th Mar 2023,Cambridge,United Kingdom,"Boogie Woogie, Charleston, Lindy Hop",Bianca Locatelli & Nils Andren Katie Cobalt & Mike Sonder,"Come and learn from the best in our friendly city of Cambridge. 2 streams, 3 socials, taster classes, live bands and an amazing teacher line up await you! Save the date, details will follow soon...",http://www.cambridgeswingdance.com,2023-03-24,2023-03-26,52.2055314,0.1186637,"52.2055314,0.1186637"
Vietnam Lindy Exchange,24th Mar 2023 - 26th Mar 2023,Hoi An,Viet Nam,Lindy Hop,,"Come to the lovely ancient town of Hoi An to enjoy VLX - Vietnam Lindy Exchange, is a fun weekend of Swing - Lindy Hop dance exchange organized annually since 2009",http://www.thevlx.net,2023-03-24,2023-03-26,15.8798137,108.3273939,"15.8798137,108.3273939"
Harbour Hop,24th Mar 2023 - 26th Mar 2023,Rotterdam,Netherlands,Lindy Hop,,The biggest swing dance event in Rotterdam. Three days with various refreshing and fun workshops and marvellous parties!,http://www.harbourhop.nl,2023-03-24,2023-03-26,51.9244424,4.47775,"51.9244424,4.47775"
Alpine Jitterbugs - Shag ‘n’ Bal Innsbruck,24th Mar 2023 - 26th Mar 2023,Innsbruck,Austria,"Balboa, Shag",Anni Skoglund & Gasper Hrovat (Balboa) - Sandy Lewis & Marti­ Gasol (Collegiate Shag) - Simona Pogosian & Rokas BoruseviÄ ius (St. Louis Shag),"Come and join us for the 3rd anniversary of our lovely Shag 'n' Bal Event in the Austrian Alps. We believe in a dancefloor that unites the world of Collegiate Shag and Balboa. Every year we try our best to build a community for dancers who love both dances as much as we do. And on top of that we included a St. Louis Shag Track as well!!! There will be three amazing Party-Nights with LIVE music! The Hot Gravel Eskimos (IT) will play their hottest tunes on Friday and Saturday as a Headliner. Meschugge Quintett (AT) from Innsbruck will be the Opening Band for our evenings, as well as for the Sunday Beerdance.",http://www.alpinejitterbugs.com,2023-03-24,2023-03-26,47.2654296,11.3927685,"47.2654296,11.3927685"
Swing it Konstanz,24th Mar 2023 - 26th Mar 2023,Constance,Germany,Lindy Hop,"SWING IT KONSTANZ: SAVE THE DATE

Cédric Clerc & Caroline Faivre (Strasbourg)","Water vibes, birdsongs and happy feet: Come and dance Lindy Hop with us at the lake! Workshop and parties. Absolutely mood-boosting! *Teachers confirmed*",https://www.swinginkonstanz.de/?page_id=1687,2023-03-24,2023-03-26,47.659216,9.1750718,"47.659216,9.1750718"
Vienna Balboa & Laminu Experience,24th Mar 2023 - 26th Mar 2023,Vienna,Austria,Balboa,"Mickey Fortanasce & Natalia Rueda (USA, CAN/NL) LucÃ­a Galiana & Javi Zurdo (ES) Dan Guest & Nikki Durrant (UK) Axel Schwarz & Sandra Hartbach (AT)","Welcome to our 9th edition of the Vienna Balboa & Laminu Experience! A familial, cozy week-end with dance classes (Balboa, Laminu, Slow Balboa), parties featuring live music and shellac/78rpm DJs, a sunday brunch and socialising. Musical guests: Bratislava Hot Serenaders (SK), Camp DJ Stephan Wuthe (DE) Unique event features: * the ONLY week-end event featuring LAMINU * analogue music only: all music during parties at the Vienna Balboa & Laminu Experience offers is analogue â€“ this means that there will be either Live Music or music from original 78rpm/Shellac records. * special warm atmosphere",https://balboa-baby.at/vble,2023-03-24,2023-03-26,48.2083537,16.3725042,"48.2083537,16.3725042"
Supercharge Swing,25th Mar 2023 - 26th Mar 2023,Glasgow,United Kingdom,"Charleston, Jazz, Lindy Hop",Allie Butler Jass McNeil More tbc soon,"Get ready to ignite your love for swing dancing with Supercharge Swing! This mini weekend workshop is designed to take your dancing to the next level. Whether you're looking to feel more comfortable with higher tempos, improve your Charleston game, or learn how to dance to those energetic swing tunes that you love, this is the perfect event for you. Join us for an up-beat weekend as we explore Lindy Hop style and technique, brush up on Lindy Charleston and get your tandem Charleston looking and feeling fabulous. Plus, we'll add some 1920s partnered Charleston to really spice things up! Five hours of classes over the weekend, plus a warm-up class each day, socials on Saturday night and Sunday afternoon, all taking place in Glasgow. Perfect for dancers from improver level and upwards, this is your chance to take your swing dancing to the next level with the guidance of our expert local instructors.",https://www.facebook.com/events/1245206099686896?ref=newsfeed,2023-03-25,2023-03-26,55.8609825,-4.2488787,"55.8609825,-4.2488787"
Move Your Bottom,30th Mar 2023 - 2nd Apr 2023,Valencia,Spain,"Jazz, Lindy Hop",Mona & Rasmus Remy Koukou Pamela & Tadas Isa & Victor Kelly Isaac Claudia & Maria,"Are you ready for MoveYourBottom 2023?
Move Your Bottom is an international Lindy Hop and Jazz Roots festival that takes place in Valencia from March 30 to April 2, 2023. The festive atmosphere of the city is reflected in four days of classes with international teachers, the best bands in the Swing panorama and, above all, good vibes.",https://moveyourbottom.com/,2023-03-30,2023-03-02,39.4697065,-0.3763353,"39.4697065,-0.3763353"
Swing On The Lake,31st Mar 2023 - 2nd Apr 2023,Drumettaz-Clarafond,France,"Balboa, Lindy Hop",Anna & Jonatan Olivier & Natasha Amy & Alexander,"Savoie, ça swing! is proud to organise his second festival: SWING ON THE LAKE 2023 during a whole crazy lindy hop an balboa WE. 3 dance teachers couple and 2 party with 2 famous bands such as Carolina Reapers Swing and Stomp Factory. We hope you''ll be there!!",https://savoiecaswing.fr/soirees-et-stages/swing-on-the-lake-2023/,2023-03-31,2023-03-02,45.6582224,5.9285677,"45.6582224,5.9285677"
Belta Blues - Spring Edition,31st Mar 2023 - 2nd Apr 2023,Newcastle-upon-Tyne,United Kingdom,Blues,"Tris Brightman, Rosie Myhan-Keogh and Isabelle Mugai, Emma Kirkby and Frankie Porter","Join us for a weekend of blues and fusion dancing. Sign up for the full weekend, or just for the parties. This year we have two levels of workshops, fundamentals for those who want to work on their basics And then there will be three nights of parties, with live music as well as a host of great DJs across two rooms.",https://www.facebook.com/events/655063272439172,2023-03-31,2023-03-02,54.9738474,-1.6131572,"54.9738474,-1.6131572"
Fallin’ In Blues,31st Mar 2023 - 2nd Apr 2023,Grenoble,France,Blues,"Annette Künhle , Agnieszka Pluwal and Konrad Prusniewski, Caroline Faivre and Cédric Clerc, Benedicte Michelet and Laurent Orban",Welcome to the 10th edition of the FIB!,http://www.grenobleswing.com/page/939511-fallin-in-blues,2023-03-31,2023-03-02,45.1875602,5.7357819,"45.1875602,5.7357819"
Swingin by the Sound,31st Mar 2023 - 2nd Apr 2023,"Port Townsend, Washington",United States,Shag,"Haily Holt, Theresa Manney, Jeron Tuell, Peter Flahiff, Lauren Smith, Ryan Martin, and Amanda Pincock","Collegiate Shag weekend. Dance classes, live music, social dancing, and competitions",http://www.swinginbythesound.com,2023-03-31,2023-03-02,48.1179702,-122.769544,"48.1179702,-122.769544"
Swingidunum,31st Mar 2023 - 2nd Apr 2023,Belgrade,Serbia And Montenegro,"Charleston, Jazz, Lindy Hop","Lindy Hop Track: Elze Visnevskyte & Peter Kertz, Moe Sakan & Minn Vo, Nejc Zupan & Jenna Applegarth Solo Jazz Track: Carlos Machava, Spela Premelc","Hiding in plain sight from 31.3. to 2.4.2023. At the mysterious crossroads of the Balkan Peninsula and the Pannonian Plain, at the confluence of the Danube and Sava rivers, first ever international swing dance festival awaits you. 3 days of decoding Lindy Hop and Solo Jazz secrets with amazing international teachers, Enigmatic taster classes to spark your imagination, Parties with live band and DJs and afterparties",https://www.swingidunum.com/,2023-03-31,2023-03-02,44.819389,20.287765105685885,"44.819389,20.287765105685885"
Tuscany Balboa Weekend - VI Edition!,31st Mar 2023 - 2nd Apr 2023,Montecatini Terme,Italy,Balboa,Laura Keat & Jeremy Otth Anni Skoglund & Gasper Hrovat,"A friendly, relaxed, intimate atmosphere with an ""All Inclusive"" formula: classes + parties + accommodation in a 4 stars hotel with spa and warm swimming pool. A dream little town, completely designed in the ""Liberty"" style, neat, easily walkable and located in the middle of beautiful, charming Tuscany in Italy: Montecatini Terme. Amazing LIVE concerts with the Music Director Mauro L. Porro.",http://www.tuscanybalboaweekend.it,2023-03-31,2023-03-02,43.883179,10.7709533,"43.883179,10.7709533"
Augsburg Jazz Rhythms,31st Mar 2023 - 2nd Apr 2023,Augsburg,Germany,"Jazz, Lindy Hop",Joris Focquaert & Yana Sanamyantz Frida Segerdahl & Skye Humphries,"For our annual Authentic Solo Jazz and Lindy Hop event we invite the top solo-teachers from around the globe to dance, smile and sweat with us. This event focuses on Authentic Solo Jazz and Lindy Hop with creativity and improvisation!",http://www.augsburgjazz.com,2023-03-31,2023-03-02,48.3668041,10.8986971,"48.3668041,10.8986971"
Swingsalabim,1st Apr 2023 - 2nd Apr 2023,Münsingen (15 km away from Bern),Switzerland,"Charleston, Lindy Hop","Mimmi Gunnarsson & Fredrik Dahlberg (Sweden), Lisa Minder & Mathieu Huruguen (Switzerland), Meret Rufener & Michael Wälti (Switzerland)",Workshop and Big Swing Night in the great Schlossgut hall. Come in and Swingout ,www.swingsalabim.ch,2023-04-01,2023-04-02,46.8739775,7.5631943,"46.8739775,7.5631943"
Barswingona,5th Apr 2023 - 10th Apr 2023,Barcelona,Spain,"Jazz, Lindy Hop","Clàudia Fonte, Clara Martinez Ariadna Beltran & Simon Bressanelli William Fulton & Jessica Miller Sylvain Guiheneuc & Marion Quesne 
Bands: Professor Cunningham and His Old School Enric Peidro Swingtet Sant Andreu Jazz Band",Barcelona is going to be an explosion of rhythm next easter time. Six parties with live music and many classes especially thought to improve your dancing.,http://www.barswingona.com,2023-04-05,2023-04-10,41.3828939,2.1774322,"41.3828939,2.1774322"
Asia Balboa eXchange (ABX),7th Apr 2023 - 9th Apr 2023,Seoul,"Korea, Republic Of",Balboa,,3 nights of Balboa Socials to Japan's hottest swing jazz band Asian Golden Swing Quartet with Ryohei Kishimoto. Join and meet the Balboa family from the region and afar. Some classes may be added based on registration feedback.,https://www.facebook.com/events/477765471094697,2023-04-07,2023-04-09,37.5666791,126.9782914,"37.5666791,126.9782914"
Jazz Roots,7th Apr 2023 - 10th Apr 2023,Paris,France,"Charleston, Jazz","Barbara Billups, Sonny Allen,  Anders Sihlberg, Carlos Machava, Eyal Vilner, Hyunjung Choi,  Joseph Sewell¸ Josette Wiggan, Juan Ignacio Villafane, Katja Hrastar, Latasha Barnes,  Laura Bento Da Costa, Leela Petronio¸ Nathan Bugh, Robert Modestine, Thanh Thanh NGuyen,  Vassiliki Papadopoulou","The Paris Jazz Roots festival is coming soon. It is with immense joy that we will welcome the two legends Barbara Billups & Sonny Allen Workshops, Culture, Talks, party, live band, competitions, music and social dance with a lot of solo dancing !!!",https://www.jazzroots.fr/,2023-04-07,2023-04-10,48.8588897,2.3200410217200766,"48.8588897,2.3200410217200766"
Cheltenham Swing Dance Festival,8th Apr 2023 - 9th Apr 2023,Cheltenham,United Kingdom,"Lindy Hop, Shag","Jenny Thomas & Matt Pease, Lindy Hop Jim & Nicky, Collegiate Shag","The headlines: Jenny Thomas & Matt Pease, Lindy Hop Jim & Nicky, Collegiate Shag Full weekend programmes of both Lindy Hop and Collegiate Shag with classes from improver to advanced. Plus: St. Louis Shag from beginner to intermediate Tasters for everyone in Balboa Taster in Tap you can use in your Lindy Saturday night dance with Down for the Count and guest DJs Sunday afternoon tea-dance with DJs, vocalist, and cake A stunning venue with huge sprung dance floor You can choose to Lindy, to Shag, or to mix and match the classes as you wish.",https://cheltenhamswing.dance/csdfest/,2023-04-08,2023-04-09,51.8995685,-2.0711559,"51.8995685,-2.0711559"
Vienna Sugar Blues,13th Apr 2023 - 16th Apr 2023,Vienna,Austria,Blues,Katja & Jona Lotte Dijkstra,"Our 5th anniversary is around the corner and we're excited to invite you to Vienna Sugar Blues 2023! What we love about organizing a blues festival is not only dancing with all of you, it's all the conversations, learning about the history and culture, and experiencing the connection that blues gives us. You gave us feedback, and we listened. This time we want to give you more time to recharge and a more relaxed schedule. For all of you loyal Sugar-lovers, rest assured: we'll continue to put all our heart into creating the VSB feeling you all appreciate so much.",https://www.viennasugarblues.com,2023-04-13,2023-04-16,48.2083537,16.3725042,"48.2083537,16.3725042"
Frisking The Whiskers,14th Apr 2023 - 16th Apr 2023,"Lowestoft, Suffolk",United Kingdom,"Balboa, Jazz, Lindy Hop, Shag",Sandy Lewis & Marti­ Gasool Markus Rosendal Paul Crook & Natasha Hall Lee & Seema Paterson,"A fantastic weekend of roots music and dancing from the 20s - 50s, with a few surprises thrown in for your pleasure! An inclusive event for music lovers and dancers alike.",https://www.frisking-the-whiskers.co.uk/,2023-04-14,2023-04-16,52.4766308,1.7537638,"52.4766308,1.7537638"
Gentse Hoppers Exchange,14th Apr 2023 - 16th Apr 2023,Ghent,Belgium,"Jazz, Lindy Hop",,"The GHX is the Lindy Hop Exchange organised by the Gentse Hoppers, the swing dance community of Ghent. A festival fully organised by volunteering dancers and dancing volunteers. Expect a full weekend of parties, live music all night long with the greatest bands in town and entertainment during the day to discover the city and its atmosphere.",https://gentsehoppersexchange.com/,2023-04-14,2023-04-16,51.0538286,3.7250121,"51.0538286,3.7250121"
Prague Spring Swing Festival (PSSF),14th Apr 2023 - 16th Apr 2023,Prague,Czech Republic,"Balboa, Charleston, Jazz, Lindy Hop",,lesson and parties in Prague,www.pragueswingfestivals.com,2023-04-14,2023-04-16,50.0874654,14.4212535,"50.0874654,14.4212535"
Spring Lindy Weekend,14th Apr 2023 - 16th Apr 2023,Pamplona,Spain,"Jazz, Lindy Hop",LaTasha Barnes & Felix Berghall Tyedric Hill & Viktor Lillard Alexia Legoueix - Sep Vermeersch Helena Kanini Kiiru,"Fifth edition of the Spring Lindy Weekend, one of the best Swing Dance festivals in Spain. International teachers and live bands and plenty of activities in an amazing venue in the lovely city of Pamplona.",http://www.springlindyweekend.es,2023-04-14,2023-04-16,42.8182536,-1.6440304,"42.8182536,-1.6440304"
Fast Feet Charlie,15th Apr 2023 - 16th Apr 2023,Karlsruhe,Germany,Shag,Michał Oblaciński und Kasia Dybowska,"Shag-Workshop with Michal and Kasia in Karlsruhe, Germany: Two days (Sat & Sun), two levels, Party on Saturday evening with the great Gramophonicas!",http://www.swinginkarlsruhe.de,2023-04-15,2023-04-16,49.0068705,8.4034195,"49.0068705,8.4034195"
Savoy Cup,20th Apr 2023 - 23rd Apr 2023,Montpellier,France,"Jazz, Lindy Hop",,"4 evenings, and these 42 hours of social dancing cumulated, the Savoy Cup is a must-see event of lindy-hop in France.",https://www.savoycup.com/?lang=en,2023-04-20,2023-04-23,43.6112422,3.8767337,"43.6112422,3.8767337"
Sitges Balboa Beach,20th Apr 2023 - 23rd Apr 2023,Sitges (near Barcelona),Spain,Balboa,Fancy Dougherty & Jeremy Otth Olga Marina & Andreas Olsson Neus Castells & Albert Ferran Anni Skoglund & Gasper Hrovat,"A new edition of Sitges Balboa Beach is comming.. This year 2023 we will celebrate our 5th festival anniversary and we have very interesting news about it. First novelty is our new location: the centenary CASINO PRADO SUBURENSE www.casinoprado.cat , an historical facility located in the center of Sitges. Another novelty are the new dates of the event. It is from April 20 to 23. This is because out from the high season (summer months) prices are significantly cheaper. It is also important to mention that April 23 is a very special day in Catalonia it is SANT JORDI, a very beautiful day to all of us since it is typical to have all the streets plenty of book markets and flower, as well as a wide offer of cultural events. We are especially proud of it and we want to share it with you. So we strongly ask you to take this opportunity to come here and enjoy! If it is your first time you will be caught by the magic of the all event! Came to SBB'23! You will be thrilled about it!! ""Open registration January 2 at 12 pm""",http://www.sitgesbalboabeach.com,2023-04-20,2023-04-23,41.2366707,1.8228136,"41.2366707,1.8228136"
The Vintage Battle,20th Apr 2023 - 23rd Apr 2023,Amsterdam,Netherlands,"Charleston, Jazz, Lindy Hop","Jill De Muelenaere and Alexandre McCormack, Mike Sonder and Katie Cobalt, Viktor Lillard, Nick Baeten and Ornella Macchia.","Jam sharing culture, the energy of burning fire in your souls, a cozy Vintage Venue, and a lot more! The inspiration for this event is the Savoy Ballroom Battle between Chick Webb vs. Benny Goodman. What to expect? 3 nights of amazing live music 9 experienced motivational movers 2 days of workshops 4 live bands",https://swingphilosophy.com/the-vintage-battle/,2023-04-20,2023-04-23,52.3730796,4.8924534,"52.3730796,4.8924534"
Slow Town Blues Fest,21st Apr 2023 - 23rd Apr 2023,Torino,Italy,Blues,Vicci & Adamo Bibi & Dara Edmilson,"Three days full of Blues in the charming city of Turin! 5 internationals Teachers and 11 musicians, for a deep Blues experience!",www.slowtownbluesfest.org,2023-04-21,2023-04-23,45.0677551,7.6824892,"45.0677551,7.6824892"
Hullabaloo,21st Apr 2023 - 23rd Apr 2023,Perth,Australia,Lindy Hop,,"Perth's (and one of Australia's) longest running Lindy Exchange! A week long festival full of live bands, workshops and more social dancing than you can shake a stick at!",https://www.facebook.com/HullaPerth,2023-04-21,2023-04-23,-31.9558964,115.8605801,"-31.9558964,115.8605801"
Spätzle-Hop,21st Apr 2023 - 23rd Apr 2023,Tübingen,Germany,Lindy Hop,Niklas Taffner & Gina Monzon Ben Taffner & Karin Gadziala,Lindy Hop workshop weekend with seven classes and three parties in the beautiful university town of Tübingen!,https://swingzeit.de/en/events/spaetzlehop-23,2023-04-21,2023-04-23,48.5236164,9.0535531,"48.5236164,9.0535531"
DCLX 2023,21st Apr 2023 - 23rd Apr 2023,"Washington, DC",United States,"Balboa, Blues, Charleston, Jazz, Lindy Hop, Shag",,Join us for our 20th year of the DC Lindy Exchange (DCLX) April 21-22! Live music and social dancing all weekend! Band lineup and registration opening date to be announced soon!,http://www.dclx.org,2023-04-21,2023-04-23,38.8950368,-77.0365427,"38.8950368,-77.0365427"
Ryan Francois weekender in Bristol,22nd Apr 2023 - 23rd Apr 2023,Bristol,United Kingdom,Lindy Hop,Ryan Francois,"Eight hours of Lindy Hop teaching over two days, Saturday evening dance and Sunday tea dance. For confident/intermediate dancers and above",https://fb.me/e/3ajNkDfvj,2023-04-22,2023-04-23,51.4538022,-2.5972985,"51.4538022,-2.5972985"
Balboa / Slowbalboa Workshop,26th Apr 2023 - 1st May 2023,Tübingen,Germany,Balboa,"Mel & Jo Calanglang 
Cris Adan Olmos & Jon Kay 
Jennifer j Lee","Balboa Training Camp with a lot of Special Trainings and 4 parties
",https://swingcake.swid.onl,2023-04-26,2023-04-01,48.5236164,9.0535531,"48.5236164,9.0535531"
Swing & Shout Festival,28th Apr 2023 - 1st May 2023,Tours,France,"Charleston, Jazz, Lindy Hop","Alice & Remy, Claudia & Maria, Alexia & Sep, Helena Kanini Kiiru",3 parties with 3 orchestras 2 days of workshops Crossovers with the Jazz Continuum Talks A House Room And many surprises!,https://stageswingandshout.wixsite.com/festival,2023-04-28,2023-04-01,47.3900474,0.6889268,"47.3900474,0.6889268"
Menorca Lindy Exhange,28th Apr 2023 - 1st May 2023,Menorca,Spain,"Balboa, Charleston, Jazz, Lindy Hop, Shag",,"A long weekend with the best swing, 7 bands in 4 days, night parties, active tourism, full of social dance & local gastronomy. Naomi & Handsome Devils, Stockholm Swing All Stars, Big Band des Mercadal, Monkey Doo Ukelelos, The Swing Crusaders, Topsy Quartet, Platano Manush & DJ Marta­ Segals.",http://www.menorcalindyexchange.com,2023-04-28,2023-04-01,39.94918695,4.0529515568716175,"39.94918695,4.0529515568716175"
The Royal Swing Fest,28th Apr 2023 - 30th Apr 2023,Collegno-Turin,Italy,"Blues, Charleston, Jazz, Lindy Hop",,"Join us for our final edition! No sadness, but a lot of energy! All info & Line-up will be announced soon",http://www.royalswingfest.com,2023-04-28,2023-04-30,45.0775473,7.5724262,"45.0775473,7.5724262"
The Grind,28th Apr 2023 - 1st May 2023,Helsinki,Finland,Blues,,"From the team* that brought you Black Coffee Blues comes a new event! The Grind is a Blues party weekend that will feature the hottest and best Blues music we can get our hands on and fascinating lectures. The event will feature at least three parties with a very Finnish afterparty on May 1st to celebrate the Finnish Vappu holiday. *Well, half the team if we are honest",https://www.facebook.com/thegrindhelsinki,2023-04-28,2023-04-01,60.1674881,24.9427473,"60.1674881,24.9427473"
Athens Rhythm Hop,4th May 2023 - 7th May 2023,Athens,Greece,"Charleston, Jazz, Lindy Hop",Nils & Bianca Skye & Frida Marie N Diaye Helena kanini Kiru,Lindy festival in Athens,http://www.athensrhythmhop.com,2023-05-04,2023-05-07,37.9839412,23.7283052,"37.9839412,23.7283052"
Swingin’ Spring Weekend,5th May 2023 - 7th May 2023,Dresden,Germany,"Balboa, Lindy Hop","Ana Maeso Arana & Samuel Gauda Bellarre, Lana Sedlmayr & Eran Tobi",Swingin' Spring Weekend is going into a second round in 2023! We are offering an exciting workshop for Lindy Hop and Balboa for levels Beginner/Intermediate and Intermediate/Advanced. This is the perfect opportunity for anyone who is up for a workshop weekend with a cozy atmosphere and high-class teachers. This year we're excited for our Saturday night party with AppenDixie from Prag!,https://www.dresden-hepcats.de/ssw/ssw-start,2023-05-05,2023-05-07,51.0493286,13.7381437,"51.0493286,13.7381437"
Rock the Balboa!,5th May 2023 - 7th May 2023,Krakow,Poland,Balboa,Jennifer Lee & Andreas Olsson Sanna Leinonen & Adam LaMontagne,"Like spring after winter, Rock the Balboa comes back to you after a break! We invite you to spring Krakow to shuffle a bit, meet old friends, meet new ones and have fun, as it used to be. Get ready for 3 levels of classes of 6 hours each! After workshops, you will be able to gambol on social meadows, because we have for you 3 parties, including 2 with live music. Furthermore, expect competitions in a cozy atmosphere, beautiful party venues, great people and lots of spring joy!",http://rockthebalboa.com/en/,2023-05-05,2023-05-07,50.0619474,19.9368564,"50.0619474,19.9368564"
The Pulse,5th May 2023 - 7th May 2023,Cork,Ireland,"Charleston, Jazz, Lindy Hop",Uxue Martinez (BCN) and Gerard Nevot (BCN) Lindy Hop & Solo Jazz,"Do you love Lindy Hop as much as we do? Spend an entire weekend swing dancing in the heart of Cork City, Ireland. Classes by day, socials by night we would truly love to see you there!",http://www.thepulseworkshop.com,2023-05-05,2023-05-07,51.897077,-8.4654674,"51.897077,-8.4654674"
Lindylicious,5th May 2023 - 8th May 2023,Paris,France,"Charleston, Jazz, Lindy Hop",,"We are happy to announce our new Edition of Lindylicious, that will evolve to a new and extended format! Classes in beautiful and central venues as usual, but also MORE SOCIAL DANCING with long parties & outdoor dancing. New format of classes to explore the roots and more cultural aspects of swing dancing.
",http://www.lindylicious.paris/,2023-05-05,2023-05-08,48.8588897,2.3200410217200766,"48.8588897,2.3200410217200766"
Paris Midnight Blues,5th May 2023 - 8th May 2023,Paris,France,Blues,"Adamo & Vicci, Anne-Helene & Bernard, Youngdon & Dawa","Do you enjoy Paris in May? Come and discover or rediscover how wonderful this old city is coming out of winter, caressed by a soft spring light. Come to this music festival that will fly you to the heart of this fascinating city. To fuel your daydream a little more, here is a fortaste of what we have planned for you: - International teachers. - Blues partner levels (including an invitational one). - Solo Blues - 8 hours of classes including 2 hours of tasters. - 4 parties including 2 parties until 5 am. - Exceptional venues - Amazing bands and many DJs will mix different Blues music styles. - Competitions with different levels. - 2 cruises on the Seine Many more surprises to come ...",http://www.parismidnightblues.com,2023-05-05,2023-05-08,48.8588897,2.3200410217200766,"48.8588897,2.3200410217200766"
Copenhagen Lindy Exchange,5th May 2023 - 7th May 2023,Copenhagen,Denmark,"Blues, Lindy Hop",,"Copenhagen Lindy Exchange is the biggest lindy event in Denmark. It will be held at Kedelhallen - an extraordinary place at Frederiksberg, which is a really nice area of Copenhagen. The program will be packed with daytime activities, workshops, performances - and amazing bands!",https://copenhagenlindyexchange.dk/,2023-05-05,2023-05-07,55.6867243,12.5700724,"55.6867243,12.5700724"
The Ugly Duckling Swing Festival,12th May 2023 - 14th May 2023,Odense,Denmark,Lindy Hop,"Manuel Bicain & Ayelén Re / Buenos Aires
Ari & Simon / Madrid
Trisha Sewel & Marco Dietz / London & Berlin
Ana Maeso & Florian Klein / Berlin
Kit Blaedel & Birk Soede / Copenhagen DK
Naja & Mark Hymoeller / Soenderborg DK","A weekend in the center of Denmark - a cosy festival for 'Newbies and Swannabies' in a cosy welcoming atmosphere. You get 3 parties with live bands, and a Pre Party Thursday night as bonus. 8 hours of classes Lunch Saturday Brunch Sunday. All levels from Beginners up to Intermediate Advanced.",http://www.theuglyduckling.dk,2023-05-12,2023-05-14,55.3997225,10.3852104,"55.3997225,10.3852104"
decaDance Swingdance Festival,12th May 2023 - 14th May 2023,Wiesbaden,Germany,"Balboa, Blues, Lindy Hop","Lennart Westerlund & eWa Burak, Fredrik Dahlberg & Frida Haeggstrom Gerdt, Gaston Fernandez & Alba Mengual","Classic swing dance weekender with three parties, dance classes and history lecture",http://www.swinginwiesbaden.de/decadance-swingtanz-festival-2023/,2023-05-12,2023-05-14,50.0820384,8.2416556,"50.0820384,8.2416556"
The BRUX - Brussels Lindy Exchange,12th May 2023 - 14th May 2023,Brussels,Belgium,"Blues, Lindy Hop, Shag",,The BRUX welcomes you again in Brussels to party all night long on live music!,http://www.thebrux.be,2023-05-12,2023-05-14,50.8465573,4.351697,"50.8465573,4.351697"
